Results for track_01.txt:
Iteration 31: Moves: 35, Runtime: 2841.56ms
Iteration 32: Moves: 35, Runtime: 2797.12ms
Iteration 33: Moves: 35, Runtime: 2641.87ms
Iteration 34: Moves: 35, Runtime: 2669.05ms
Iteration 35: Moves: 35, Runtime: 2660.18ms
Iteration 36: Moves: 35, Runtime: 2661.90ms
Iteration 37: Moves: 35, Runtime: 2650.10ms
Iteration 38: Moves: 35, Runtime: 2680.06ms
Iteration 39: Moves: 35, Runtime: 2892.70ms
Iteration 40: Moves: 35, Runtime: 2651.27ms
Iteration 41: Moves: 35, Runtime: 2658.93ms
Iteration 42: Moves: 35, Runtime: 2718.06ms
Iteration 43: Moves: 35, Runtime: 2727.10ms
Iteration 44: Moves: 35, Runtime: 2618.25ms
Iteration 45: Moves: 35, Runtime: 2662.82ms
Iteration 46: Moves: 35, Runtime: 2711.37ms
Iteration 47: Moves: 35, Runtime: 2668.51ms
Iteration 48: Moves: 35, Runtime: 2644.10ms
Iteration 49: Moves: 35, Runtime: 2676.72ms
Iteration 50: Moves: 35, Runtime: 2658.22ms
Best Moves: 35 moves
Average Moves: 35.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 2613.24ms
Average Runtime: 2687.76ms
Deviation Runtime: 79.76ms

Results for track_08.txt:
Iteration 1: Moves: 43, Runtime: 2633.46ms
Iteration 2: Moves: 43, Runtime: 2680.76ms
Iteration 3: Moves: 43, Runtime: 2666.04ms
Iteration 4: Moves: 43, Runtime: 2751.13ms
Iteration 5: Moves: 43, Runtime: 2893.22ms
Iteration 6: Moves: 43, Runtime: 2676.06ms
Iteration 7: Moves: 43, Runtime: 2657.27ms
Iteration 8: Moves: 43, Runtime: 2663.29ms
Iteration 9: Moves: 43, Runtime: 2652.71ms
Iteration 10: Moves: 43, Runtime: 2695.89ms
Iteration 11: Moves: 43, Runtime: 2713.81ms
Iteration 12: Moves: 43, Runtime: 2683.71ms
Iteration 13: Moves: 43, Runtime: 2795.56ms
Iteration 14: Moves: 43, Runtime: 2649.98ms
Iteration 15: Moves: 43, Runtime: 2744.57ms
Iteration 16: Moves: 43, Runtime: 2633.27ms
Iteration 17: Moves: 43, Runtime: 2658.05ms
Iteration 18: Moves: 43, Runtime: 2724.51ms
Iteration 19: Moves: 43, Runtime: 2726.55ms
Iteration 20: Moves: 43, Runtime: 2686.34ms
Iteration 21: Moves: 43, Runtime: 2660.63ms
Iteration 22: Moves: 43, Runtime: 2678.47ms
Iteration 23: Moves: 43, Runtime: 2665.27ms
Iteration 24: Moves: 43, Runtime: 2826.68ms
Iteration 25: Moves: 43, Runtime: 2963.52ms
